employee_id,first_name,last_name,department,sub_department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_title,job_level,employment_type,contract_type,work_location,city,region,salary,bonus_target_pct,hire_date,term_date,term_type,term_reason,active_status,gender,age,ethnicity,education,years_experience,performance_rating,engagement_score,absence_days,overtime_hours,training_hours,promotion_last_3yrs,salary_band,marital_status
1200000024,Anna,Quinn,HR,Employee Relations,1200000014,1200000012,1200000004,,Employee Relations Manager,Senior Manager,Fixed-Term,Full Time,Head Office Manchester,Manchester,North West,75000,17.6,29/01/2024,,,,1,Female,39,White British,Vocational/Apprenticeship,20,3.7,70,4,0,19,No,Band A,Single
1200000026,Francesca,White,HR,Recruitment,1200000015,1200000014,1200000012,1200000004,Talent Acquisition Specialist,Individual Contributor,Permanent,Part Time,Head Office Manchester,Manchester,North West,25400,2.4,13/12/2024,,,,1,Male,24,Mixed,Master's,6,3.7,76,5,3,32,Yes,Band F,Single
1200000029,Sarah,Reed,HR,Recruitment,1200000015,1200000014,1200000012,1200000004,Talent Acquisition Specialist,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,35700,0,19/03/2022,20/02/2024,Voluntary,Personal reasons,0,Female,27,Other Ethnic Group,Master's,8,3.2,95,0,9,2,No,Band B,Married
1200000030,Jason,Harrison,HR,Recruitment,1200000015,1200000014,1200000012,1200000004,Talent Acquisition Specialist,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,24100,0,26/11/2024,,,,1,Female,24,White British,Bachelor's,5,3,61,7,2,20,No,Band F,Single
1200000032,Kerry,White,HR,Recruitment,1200000015,1200000014,1200000012,1200000004,Talent Acquisition Specialist,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,31700,0,12/09/2024,,,,1,Male,23,White British,Bachelor's,1,3,75,2,6,20,Yes,Band D,Married
1200000035,Gillian,Andrews,HR,Recruitment,1200000015,1200000014,1200000012,1200000004,Talent Acquisition Specialist,Individual Contributor,Permanent,Full Time,Head Office London,London,London,34900,2.4,27/11/2023,,,,1,Male,28,White British,Bachelor's,10,3.1,74,4,0,29,No,Band B,Single
1200000038,Judith,Warner,HR,HR Operations,1200000018,1200000014,1200000012,1200000004,HR Administrator,Individual Contributor,Contractor,Full Time,Head Office Manchester,Manchester,North West,30700,0.6,06/09/2025,,,,1,Female,18,White British,Bachelor's,0,4.1,68,5,0,18,No,Band D,Single
1200000041,Janice,Glover,HR,HR Operations,1200000018,1200000014,1200000012,1200000004,HR Administrator,Individual Contributor,Permanent,Full Time,Head Office London,London,London,30300,0,22/10/2021,,,,1,Female,36,White British,Bachelor's,15,3.5,57,4,6,16,No,Band D,Single
1200000044,Debra,Butler,HR,HR Operations,1200000018,1200000014,1200000012,1200000004,HR Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,32300,0,06/12/2022,,,,1,Female,28,White British,Master's,10,2.6,59,5,0,28,No,Band D,Widowed
1200000045,Gemma,Elliott,HR,HR Operations,1200000018,1200000014,1200000012,1200000004,HR Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,32600,0,25/03/2025,,,,1,Female,27,White British,Master's,5,4.1,84,10,0,10,No,Band C,Married
1200000046,Sara,Harvey,HR,HR Operations,1200000018,1200000014,1200000012,1200000004,HR Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,25200,1.5,01/11/2024,,,,1,Male,30,White British,Bachelor's,12,3.2,81,1,0,13,Yes,Band F,Married
1200000047,Paige,Ferguson,HR,Learning & Development,1200000019,1200000014,1200000012,1200000004,Learning & Development Advisor,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,25800,0.5,01/08/2024,,,,1,Female,21,White British,Bachelor's,3,3.6,61,2,5,31,No,Band F,Single
1200000048,Stephanie,Norton,HR,Learning & Development,1200000019,1200000014,1200000012,1200000004,Learning & Development Advisor,Individual Contributor,Permanent,Full Time,Head Office London,London,London,27400,0,26/08/2021,,,,1,Male,28,White British,PhD,10,3.6,65,1,0,10,No,Band E,Single
1200000051,Dylan,Young,HR,Learning & Development,1200000019,1200000014,1200000012,1200000004,Learning & Development Advisor,Individual Contributor,Contractor,Full Time,Head Office Manchester,Manchester,North West,33500,1.3,20/06/2022,,,,1,Female,28,White British,Bachelor's,8,3.1,85,6,11,30,No,Band C,Single
1200000052,Jeremy,Mellor,HR,Learning & Development,1200000019,1200000014,1200000012,1200000004,Learning & Development Advisor,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,34200,2.8,26/03/2025,,,,1,Female,26,White British,Bachelor's,5,4.6,26,4,0,16,No,Band C,Single
1200000055,Jay,Rees,HR,Reward,1200000022,1200000014,1200000012,1200000004,Reward Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,27300,1.4,06/09/2025,,,,1,Male,19,White British,A-Level,0,3.5,69,8,4,20,No,Band E,Single
1200000056,Joyce,Wilson,HR,Reward,1200000022,1200000014,1200000012,1200000004,Reward Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,30500,2.5,12/09/2025,,,,1,Female,22,White British,Bachelor's,0,3.2,63,6,9,23,No,Band D,Divorced
1200000059,Jacob,Robinson,HR,Reward,1200000022,1200000014,1200000012,1200000004,Reward Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,33900,0.3,14/05/2025,,,,1,Female,30,Asian British,Bachelor's,9,3.6,62,6,10,31,Yes,Band C,Married
1200000060,Megan,Taylor,HR,Reward,1200000022,1200000014,1200000012,1200000004,Reward Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,34900,2.2,15/05/2024,,,,1,Female,27,White British,Bachelor's,7,4,76,5,3,29,No,Band B,Single
1200000062,Janice,White,HR,Employee Relations,1200000024,1200000014,1200000012,1200000004,HR Advisor,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,44900,5.1,12/01/2023,,,,1,Female,27,White British,Master's,7,3.5,85,2,3,24,No,Band A,Married
1200000065,Ellie,Lee,HR,Employee Relations,1200000024,1200000014,1200000012,1200000004,HR Advisor,Senior Individual Contributor,Permanent,Full Time,Head Office London,London,London,68100,6.2,12/05/2023,,,,1,Male,28,White British,A-Level,6,3.2,79,1,9,29,No,Band A,Single
1200000066,Jonathan,Middleton,HR,Employee Relations,1200000024,1200000014,1200000012,1200000004,HR Advisor,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,52900,5.1,27/07/2024,,,,1,Male,35,White British,Bachelor's,17,3.4,43,3,13,11,No,Band A,Divorced
1200000067,Kelly,Davies,HR,Employee Relations,1200000024,1200000014,1200000012,1200000004,HR Advisor,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,53200,3.3,19/11/2024,,,,1,Female,27,White British,A-Level,5,3,78,5,4,18,No,Band A,Married
1200000070,Diana,Cross,Finance,FP&A,1200000006,1200000004,,,Finance Director,Director,Permanent,Full Time,Head Office London,London,London,114500,32.4,26/08/2020,,,,1,Female,43,White British,Bachelor's,22,3,100,5,0,22,No,Band A,Married
1200000072,Josephine,Hammond,Finance,FP&A,1200000070,1200000006,1200000004,,FP&A Manager,Manager,Permanent,Full Time,Head Office London,London,London,64900,11.7,20/09/2024,,,,1,Male,37,Asian British,Bachelor's,18,3.4,53,2,0,21,No,Band A,Single
1200000074,Elliott,Thompson,Finance,Payroll,1200000070,1200000006,1200000004,,Payroll Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,61800,11.9,27/06/2021,,,,1,Female,34,White Other,Vocational/Apprenticeship,15,4.1,53,3,0,36,Yes,Band A,Married
1200000076,Lesley,Humphries,Finance,Accounts Payable,1200000070,1200000006,1200000004,,Accounts Payable Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,67800,14.5,16/01/2021,,,,1,Female,38,White British,Bachelor's,16,2.5,90,6,0,20,No,Band A,Single
1200000077,Janice,Dixon,Finance,Accounts Receivable,1200000070,1200000006,1200000004,,Accounts Receivable Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,67400,12.8,11/02/2023,,,,1,Female,34,White British,Master's,13,3.5,67,3,0,2,Yes,Band A,Single
1200000079,Stanley,Holmes,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Fixed-Term,Full Time,Head Office London,London,London,37400,0,06/08/2024,,,,1,Male,21,Mixed,Bachelor's,3,3.6,100,7,12,26,Yes,Band B,Married
1200000080,Natalie,Richardson,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,26100,0.3,02/11/2024,,,,1,Female,27,Black British,Master's,8,2.5,92,6,0,17,No,Band F,Single
1200000081,Jacqueline,Wilson,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,29100,2.7,16/02/2024,,,,1,Female,23,White British,Vocational/Apprenticeship,5,2.7,81,1,6,8,No,Band E,Married
1200000083,Andrew,Nelson,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,24700,0,12/04/2024,,,,1,Female,27,White British,Bachelor's,5,2.9,79,1,0,10,No,Band F,Single
1200000085,Marc,Phillips,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Permanent,Full Time,Head Office London,London,London,30600,2.9,25/09/2023,,,,1,Female,26,White British,A-Level,5,4.7,72,3,3,15,No,Band D,Divorced
1200000086,Kenneth,Johnston,Finance,FP&A,1200000072,1200000070,1200000006,1200000004,FP&A Analyst,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,28000,1.7,02/07/2024,,,,1,Female,21,White British,Bachelor's,0,3.3,39,4,9,8,No,Band E,Married
1200000087,Ruth,Hawkins,Finance,Payroll,1200000074,1200000070,1200000006,1200000004,Payroll Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,33100,2.1,11/03/2025,,,,1,Male,31,White British,Master's,10,4.4,37,3,0,11,No,Band C,Married
1200000090,Charles,Kelly,Finance,Payroll,1200000074,1200000070,1200000006,1200000004,Payroll Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,31000,1.7,27/03/2025,,,,1,Male,29,White British,Master's,9,4.1,81,3,1,33,No,Band D,Married
1200000093,Frederick,Byrne,Finance,Payroll,1200000074,1200000070,1200000006,1200000004,Payroll Administrator,Individual Contributor,Contractor,Full Time,Head Office Manchester,Manchester,North West,27500,0.8,01/07/2024,,,,1,Female,30,White British,A-Level,11,2.4,85,3,1,11,No,Band E,Married
1200000094,Danny,Hale,Finance,Payroll,1200000074,1200000070,1200000006,1200000004,Payroll Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,28500,0,18/09/2024,,,,1,Male,32,White British,Bachelor's,13,2,81,6,7,8,No,Band E,Married
1200000097,Holly,Davidson,Finance,Payroll,1200000074,1200000070,1200000006,1200000004,Payroll Administrator,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,27000,0.8,02/01/2025,,,,1,Male,27,Asian British,Bachelor's,7,3.1,79,3,5,8,Yes,Band E,Single
1200000098,Heather,Powell,Finance,Accounts Payable,1200000076,1200000070,1200000006,1200000004,Accounts Payable Clerk,Individual Contributor,Permanent,Part Time,Head Office Manchester,Manchester,North West,34100,0,26/02/2022,,,,1,Female,30,White British,Master's,8,3.1,72,2,0,25,No,Band C,Married
1200000099,Eileen,Rowe,Finance,Accounts Payable,1200000076,1200000070,1200000006,1200000004,Accounts Payable Clerk,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,34200,0,12/01/2024,,,,1,Female,29,White British,Bachelor's,10,2.4,57,6,4,16,No,Band C,Married
1200000101,Eileen,Matthews,Finance,Accounts Payable,1200000076,1200000070,1200000006,1200000004,Accounts Payable Clerk,Individual Contributor,Permanent,Full Time,Head Office London,London,London,40500,0.2,20/07/2023,,,,1,Male,24,White British,Bachelor's,4,3.2,65,4,2,27,No,Band B,Single
1200000104,Jamie,Turner,Finance,Accounts Payable,1200000076,1200000070,1200000006,1200000004,Accounts Payable Clerk,Individual Contributor,Fixed-Term,Full Time,Head Office Manchester,Manchester,North West,25200,0,28/07/2025,,,,1,Male,21,White Other,Master's,2,4.1,60,6,0,29,No,Band F,Married
1200000107,Diane,Bond,Finance,Accounts Payable,1200000076,1200000070,1200000006,1200000004,Accounts Payable Clerk,Individual Contributor,Permanent,Full Time,Head Office London,London,London,36600,1.8,29/10/2023,,,,1,Male,26,Asian British,A-Level,4,3.6,75,2,13,22,No,Band B,Married
1200000108,Joanne,Davey,Finance,Accounts Receivable,1200000077,1200000070,1200000006,1200000004,Accounts Receivable Clerk,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,27000,1.3,15/06/2025,,,,1,Male,30,Asian British,Vocational/Apprenticeship,10,4.3,65,3,12,28,No,Band E,Married
1200000110,Victoria,Gould,Finance,Accounts Receivable,1200000077,1200000070,1200000006,1200000004,Accounts Receivable Clerk,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,33000,0,10/03/2026,,,,1,Male,25,White British,Bachelor's,4,3.6,83,4,18,19,Yes,Band C,Single
1200000113,Tracy,James,Finance,Accounts Receivable,1200000077,1200000070,1200000006,1200000004,Accounts Receivable Clerk,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,29900,1.5,24/12/2024,,,,1,Male,18,White British,Bachelor's,0,3,78,7,4,28,No,Band E,Single
1200000116,Phillip,Anderson,Finance,Accounts Receivable,1200000077,1200000070,1200000006,1200000004,Accounts Receivable Clerk,Individual Contributor,Permanent,Part Time,Head Office London,London,London,37600,0,08/05/2026,,,,1,Female,20,White British,Bachelor's,0,2.9,48,6,0,16,No,Band B,Single
1200000119,Lorraine,Palmer,Finance,Accounts Receivable,1200000077,1200000070,1200000006,1200000004,Accounts Receivable Clerk,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,31900,0.7,06/04/2023,,,,1,Male,32,White British,Bachelor's,11,4.1,46,1,0,23,No,Band D,Widowed
1200000121,Joan,Hill,Technology,Software Engineering,1200000009,1200000004,,,Technology Director,Director,Permanent,Full Time,Head Office Manchester,Manchester,North West,151000,25,08/11/2021,,,,1,Male,48,White Other,A-Level,28,3.6,74,2,0,16,No,Band A,Married
1200000123,Martyn,Taylor,Technology,Software Engineering,1200000121,1200000009,1200000004,,Head of Software Engineering,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,89200,21.5,02/02/2018,,,,1,Male,45,Asian British,PhD,24,4.3,34,3,0,20,No,Band A,Single
1200000125,Christopher,Davies,Technology,BI & Data,1200000121,1200000009,1200000004,,Head of BI & Data,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,96300,20.5,15/06/2021,,,,1,Male,45,White British,Bachelor's,24,3,66,3,0,17,No,Band A,Single
1200000127,Amy,Richardson,Technology,Infrastructure,1200000121,1200000009,1200000004,,Head of Infrastructure,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,87600,21.1,06/10/2023,,,,1,Male,34,Mixed,Bachelor's,15,3.6,70,3,0,26,No,Band A,Married
1200000130,Sara,Myers,Technology,Cyber Security,1200000121,1200000009,1200000004,,Head of Cyber Security,Senior Manager,Contractor,Full Time,Head Office Manchester,Manchester,North West,92100,15.3,06/09/2024,,,,1,Female,34,White British,Master's,13,4.2,62,1,0,8,No,Band A,Widowed
1200000133,Sian,Cook,Technology,Service Desk,1200000121,1200000009,1200000004,,Service Desk Manager,Senior Manager,Permanent,Full Time,Head Office London,London,London,95500,21.3,06/04/2026,,,,1,Male,29,White British,A-Level,10,2.8,60,4,0,0,No,Band A,Married
1200000136,Sean,Williams,Technology,QA,1200000121,1200000009,1200000004,,QA Manager,Senior Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,76200,19.3,15/09/2021,,,,1,Male,32,White British,Master's,13,3.5,66,4,0,17,No,Band A,Married
1200000139,Julian,Harper,Technology,Software Engineering,1200000123,1200000121,1200000009,1200000004,Software Engineering Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,69200,10.8,24/08/2025,,,,1,Male,38,White British,Bachelor's,18,2.5,79,4,0,20,No,Band A,Married
1200000141,Wayne,Page,Technology,Software Engineering,1200000123,1200000121,1200000009,1200000004,Software Engineering Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,58600,11.9,11/07/2020,,,,1,Male,38,White British,Bachelor's,20,3.8,46,2,0,5,No,Band A,Married
1200000144,Craig,Buckley,Technology,BI & Data,1200000125,1200000121,1200000009,1200000004,BI & Data Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,60200,13.9,02/06/2024,,,,1,Female,29,White British,A-Level,8,2.6,60,5,0,18,No,Band A,Single
1200000147,Michelle,Taylor,Technology,Infrastructure,1200000127,1200000121,1200000009,1200000004,Infrastructure Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,70300,11.8,09/07/2022,04/07/2026,Voluntary,Retirement,0,Male,42,White British,Vocational/Apprenticeship,24,3.6,48,2,0,27,No,Band A,Married
1200000149,Leanne,Gray,Technology,Cyber Security,1200000130,1200000121,1200000009,1200000004,Cyber Security Manager,Manager,Permanent,Full Time,Head Office Manchester,Manchester,North West,54400,12.3,14/02/2025,,,,1,Female,33,White British,A-Level,13,3.9,64,5,0,17,No,Band A,Married
1200000151,Howard,John,Technology,Service Desk,1200000133,1200000121,1200000009,1200000004,Service Desk Manager,Manager,Fixed-Term,Full Time,Head Office Manchester,Manchester,North West,63100,13.4,16/10/2023,,,,1,Male,33,White British,Master's,12,3.6,79,4,0,28,No,Band A,Married
1200000154,Martin,Patel,Technology,QA,1200000136,1200000121,1200000009,1200000004,QA Manager,Manager,Permanent,Part Time,Head Office London,London,London,82400,14.1,06/06/2022,,,,1,Male,37,Black British,Bachelor's,19,3.8,69,7,0,3,No,Band A,Single
1200000157,Jonathan,Powell,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Part Time,Head Office Manchester,Manchester,North West,32400,2.2,19/03/2024,,,,1,Male,27,Asian British,Master's,5,3.2,68,6,4,18,No,Band C,Single
1200000158,Arthur,Bell,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,36300,0,22/05/2024,,,,1,Female,21,White British,Bachelor's,0,3.1,100,7,1,4,Yes,Band B,Single
1200000159,Abbie,Duncan,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,26400,1.7,28/10/2023,,,,1,Female,34,White British,A-Level,15,2.8,85,5,2,19,No,Band F,Divorced
1200000162,Julie,Griffiths,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,27500,0,23/05/2022,,,,1,Male,22,White Other,Bachelor's,4,3.5,63,2,0,14,No,Band E,Single
1200000164,Jeremy,Shaw,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,47500,7.7,23/05/2025,,,,1,Male,27,White British,A-Level,5,3.8,62,3,0,14,No,Band A,Married
1200000166,Natasha,Smith,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office London,London,London,48700,4.6,05/03/2024,,,,1,Male,34,White British,Bachelor's,16,3.7,60,4,4,12,No,Band A,Single
1200000168,Trevor,Shaw,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office London,London,London,42900,1.3,29/06/2023,,,,1,Male,30,Asian British,Bachelor's,8,4.3,56,10,12,24,No,Band A,Single
1200000169,Simon,Cunningham,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,26700,0,21/11/2024,,,,1,Male,24,White British,A-Level,6,3.7,66,2,8,3,No,Band F,Single
1200000172,Norman,Sharp,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,35500,0,20/08/2024,,,,1,Female,23,White British,Master's,3,4.4,74,4,7,19,No,Band B,Married
1200000175,Brenda,Miller,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,35800,1.7,21/03/2025,,,,1,Male,27,White British,Master's,5,3.6,62,2,6,12,No,Band B,Married
1200000176,Philip,Knowles,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,61700,7.9,27/06/2022,,,,1,Male,32,White British,Master's,13,2.5,66,5,10,31,No,Band A,Married
1200000177,Harriet,O'Brien,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,29900,1.3,06/10/2023,,,,1,Male,27,White British,Bachelor's,9,2.8,95,5,4,15,No,Band E,Married
1200000179,Arthur,Carr,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,30400,2.3,23/03/2023,,,,1,Female,19,White Other,Bachelor's,0,3.7,68,6,5,25,Yes,Band D,Single
1200000182,Phillip,Arnold,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,30600,1.7,03/07/2025,,,,1,Male,20,White British,Bachelor's,2,3.1,97,2,0,23,Yes,Band D,Married
1200000183,Mathew,Mitchell,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,42600,5,29/09/2025,,,,1,Male,34,White British,Bachelor's,12,3.4,62,6,0,17,No,Band A,Divorced
1200000186,Leigh,Lawson,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,29600,0,14/06/2023,,,,1,Female,22,White British,A-Level,3,3.4,72,2,2,17,No,Band E,Single
1200000189,Denise,Matthews,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,32800,2.4,27/02/2024,,,,1,Male,25,White British,Bachelor's,4,4.1,80,2,12,27,Yes,Band C,Divorced
1200000190,Albert,Brooks,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,35200,2.4,08/12/2023,,,,1,Male,29,Asian British,Bachelor's,8,4,80,4,2,31,No,Band B,Divorced
1200000192,Gerald,Lyons,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,25900,0,07/06/2025,,,,1,Female,22,White British,Bachelor's,3,2.9,64,8,7,7,No,Band F,Single
1200000193,Eric,O'Neill,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Part Time,Head Office Manchester,Manchester,North West,30900,0,24/02/2023,,,,1,Female,31,White British,Bachelor's,13,3.2,94,3,5,28,No,Band D,Divorced
1200000194,Nathan,Collins,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,60400,6.5,19/06/2022,,,,1,Female,33,White British,Master's,14,3.4,84,5,0,21,No,Band A,Married
1200000195,Mark,Fox,Technology,Software Engineering,1200000141,1200000123,1200000121,1200000009,Senior Software Engineer,Senior Individual Contributor,Permanent,Full Time,Head Office London,London,London,64600,4,02/04/2024,,,,1,Male,27,Other Ethnic Group,Bachelor's,7,3.5,88,4,0,21,No,Band A,Married
1200000198,Pauline,Fox,Technology,Software Engineering,1200000139,1200000123,1200000121,1200000009,Software Engineer,Individual Contributor,Permanent,Full Time,Head Office Manchester,Manchester,North West,28300,2.3,03/02/2024,,,,1,Male,25,Asian British,Bachelor's,6,4.2,62,3,0,20,No,Band E,Single
